Date,Open,Close,Predicted_Open
01-01-2020,1225.028642,1227.428589,1229.160403
02-01-2020,1227.812607,1235.252441,1236.924819
03-01-2020,1230.884475,1217.636841,1219.443041
06-01-2020,1209.573164,1191.285522,1193.291909
07-01-2020,1208.517009,1210.148926,1212.012011
08-01-2020,1197.045086,1206.980957,1208.868108
09-01-2020,1214.372838,1220.516724,1222.301046
10-01-2020,1232.708373,1231.36438,1233.066294
13-01-2020,1231.364494,1234.532471,1236.210318
14-01-2020,1237.412345,1237.892334,1239.544657
15-01-2020,1234.916517,1232.852539,1234.543148
16-01-2020,1230.740598,1236.116455,1237.782269
17-01-2020,1230.452481,1226.996582,1228.731678
20-01-2020,1252.628006,1204.677124,1206.581777
21-01-2020,1199.973219,1194.549316,1196.530909
22-01-2020,1198.10137,1191.189453,1193.19657
23-01-2020,1190.373424,1195.029297,1197.007243
24-01-2020,1196.133255,1194.741333,1196.721467
27-01-2020,1185.573452,1164.645874,1166.854638
28-01-2020,1170.021916,1174.245728,1176.381563
29-01-2020,1176.261822,1186.389526,1188.433107
30-01-2020,1189.365442,1176.981812,1179.096861
31-01-2020,1182.165475,1177.22168,1179.334907
03-02-2020,1149.094363,1145.0625,1147.420036
04-02-2020,1150.0543,1180.581665,1182.669367
05-02-2020,1185.47749,1194.83728,1196.816685
06-02-2020,1194.837391,1190.181519,1192.196292
07-02-2020,1196.133317,1192.485352,1194.482624
10-02-2020,1193.205226,1190.661377,1192.672505
11-02-2020,1193.541353,1190.949341,1192.958282
12-02-2020,1195.365218,1199.013184,1200.960865
13-02-2020,1209.477011,1191.717407,1193.720513
14-02-2020,1193.445269,1170.549805,1172.713718
17-02-2020,1175.973797,1168.437988,1170.617944
18-02-2020,1168.198037,1164.694092,1166.90249
19-02-2020,1173.573841,1178.085693,1180.192357
20-02-2020,1180.77364,1168.389893,1170.570214
24-02-2020,1160.566022,1161.526001,1163.758466
25-02-2020,1155.814325,1152.262451,1154.56529
26-02-2020,1149.57431,1151.254272,1153.56477
27-02-2020,1147.174431,1151.446289,1153.755328
28-02-2020,1128.4547,1130.518677,1132.9867
02-03-2020,1152.166283,1132.390747,1134.844548
03-03-2020,1127.974785,1134.502686,1136.940442
04-03-2020,1131.190705,1102.871338,1105.549393
05-03-2020,1106.855228,1105.27124,1107.931064
06-03-2020,1079.975925,1089.479736,1092.259525
09-03-2020,1065.576148,1062.984253,1065.965324
11-03-2020,1060.776384,1069.224243,1072.15791
12-03-2020,1031.977011,980.4261475,984.0343986
13-03-2020,940.8269733,1026.985107,1030.239658
16-03-2020,993.577836,959.4985962,963.2658306
17-03-2020,967.6583914,936.0750732,940.0202523
18-03-2020,945.5788975,841.8052368,846.4665684
19-03-2020,813.1018532,859.7088013,864.2341224
20-03-2020,839.9812812,847.5170898,852.1350294
23-03-2020,762.7989419,740.6714478,746.1010762
24-03-2020,763.4229848,736.9755859,742.4332912
25-03-2020,739.615528,822.4616699,827.2699514
26-03-2020,835.277287,865.0366211,869.5214676
27-03-2020,907.1318201,868.2526855,872.7131002
30-03-2020,844.7811519,798.3662109,803.3575417
31-03-2020,819.6297168,827.4055786,832.176302
01-04-2020,829.2774476,796.446228,801.4521446
03-04-2020,809.2620275,781.2786255,786.3997678
07-04-2020,839.0213124,860.2368164,864.7581263
08-04-2020,844.7331919,853.3250122,857.8988299
09-04-2020,876.4604075,888.0281372,892.338321
13-04-2020,896.6199796,859.5167847,864.0435645
15-04-2020,893.2600194,828.7494507,833.5099649
16-04-2020,830.3813939,844.5410767,849.1816245
17-04-2020,878.3805029,873.8685913,878.2863428
20-04-2020,912.9396585,907.0357666,911.2015525
21-04-2020,887.980187,884.7642822,889.0992609
22-04-2020,882.3643454,891.4360962,895.7203902
23-04-2020,897.5799828,916.7315674,920.8236959
24-04-2020,895.660115,900.5079956,904.7233719
27-04-2020,907.3238077,892.4921265,896.768398
28-04-2020,906.0277839,894.1240845,898.3879583
29-04-2020,897.5800394,937.9951172,941.92571
30-04-2020,961.3225867,961.706543,965.4570039
04-05-2020,919.1794399,886.0601807,890.3853147
05-05-2020,900.4598923,874.9724731,879.3818386
06-05-2020,882.2203064,908.5237427,912.6782247
07-05-2020,902.8598312,887.9801636,892.2907118
08-05-2020,904.2998376,891.868103,896.1491152
11-05-2020,899.4999342,879.1483765,883.5260183
12-05-2020,864.9407125,865.468689,869.9502532
13-05-2020,912.9395842,890.5241089,894.8153311
14-05-2020,862.0607575,857.9328613,862.471674
15-05-2020,854.8609066,852.6049805,857.1842681
18-05-2020,852.4610165,803.1661377,808.1210042
19-05-2020,826.3974937,797.406189,802.4048128
20-05-2020,802.9741447,822.7976685,827.6033974
21-05-2020,826.97358,825.1495972,829.9374589
22-05-2020,815.9817998,805.2780151,810.216838
26-05-2020,822.7015833,818.2857056,823.1257112
27-05-2020,825.4856167,867.4846802,871.9509292
28-05-2020,883.18028,907.4197388,911.5826077
29-05-2020,906.2197394,913.5635986,917.6797937
01-06-2020,935.9791113,948.1228638,951.9765177
02-06-2020,947.2108559,960.9385376,964.694833
03-06-2020,979.178122,981.3380737,984.9393972
04-06-2020,986.9060049,961.6105347,965.361725
05-06-2020,962.9544836,991.9938354,995.5142088
08-06-2020,1017.577344,975.2423096,978.8899415
09-06-2020,979.1781143,947.7868042,951.6430111
10-06-2020,950.3787872,952.1547241,955.9777487
11-06-2020,945.5789389,929.8352661,933.8278479
12-06-2020,890.8601183,943.4189453,947.3083342
15-06-2020,929.259267,911.8356323,915.9649544
16-06-2020,935.9790636,950.7627563,954.5963555
17-06-2020,949.4188121,940.059021,943.9739346
18-06-2020,940.7790311,979.130188,982.7482844
19-06-2020,977.2102006,991.9938354,995.5142088
22-06-2020,997.8497273,987.5780029,991.1319226
23-06-2020,997.4176564,1000.585632,1004.040735
24-06-2020,1006.537575,991.1779175,994.7044892
25-06-2020,981.0021728,987.5780029,991.1319226
26-06-2020,999.3376895,1014.169312,1017.521221
29-06-2020,995.4977754,1032.984985,1036.193956
30-06-2020,1031.017087,1023.193237,1026.476594
01-07-2020,1023.193151,1041.192749,1044.339366
02-07-2020,1046.664785,1045.800781,1048.912392
03-07-2020,1049.256758,1030.969116,1034.193401
06-07-2020,1063.608293,1058.856445,1061.868874
07-07-2020,1065.000197,1060.920288,1063.917038
08-07-2020,1062.696327,1065.912231,1068.871059
09-07-2020,1073.256052,1079.927856,1082.780209
10-07-2020,1073.160087,1060.872314,1063.869429
13-07-2020,1065.480108,1037.016724,1040.195065
14-07-2020,1020.073247,1016.473328,1019.807734
15-07-2020,1027.369029,1011.001465,1014.37744
16-07-2020,1011.481496,1020.02533,1023.332752
17-07-2020,1016.665459,1054.488525,1057.534137
20-07-2020,1089.575769,1087.703857,1090.497137
21-07-2020,1105.943353,1092.983643,1095.736813
22-07-2020,1092.935614,1081.271851,1084.113993
23-07-2020,1079.976004,1085.159912,1087.972518
24-07-2020,1077.959977,1074.312012,1077.207027
27-07-2020,1055.832416,1036.296875,1039.480685
28-07-2020,1035.816907,1043.160767,1046.292433
29-07-2020,1037.736836,1021.993164,1025.285637
30-07-2020,1031.016977,1008.601501,1011.995709
31-07-2020,1015.369316,991.4659424,994.990326
03-08-2020,984.8900002,961.8985596,965.6475618
04-08-2020,967.6584277,999.961731,1003.421574
05-08-2020,1006.009494,986.4260254,989.9886965
06-08-2020,995.4978087,999.0496826,1002.516454
07-08-2020,993.4337407,1002.073547,1005.517347
10-08-2020,1002.217621,1008.601501,1011.995709
11-08-2020,1006.537547,1023.961182,1027.238704
